log_id,transformer_id,substation_id,region,state,maintenance_type,failure_type,severity,reported_date,scheduled_date,completed_date,technician_id,technician_name,hours_spent,parts_replaced,cost_inr,downtime_hours,root_cause,resolution_notes,follow_up_required,next_inspection_date
ML-2025_05-0001,TRF-S-0045,SUB-S-008,SOUTH,TamilNadu,INSPECTION,NONE,CRITICAL,2025-05-19,2025-05-27,2025-06-01,TECH-1174,Rajesh Kumar,32.0,NONE,455951.71,34.0,Overloading,Full overhaul completed,YES,2025-08-25
ML-2025_05-0002,TRF-S-0053,SUB-S-001,SOUTH,Kerala,CORRECTIVE,NONE,LOW,2025-05-18,2025-05-28,2025-06-03,TECH-1097,Deepak Singh,13.1,NONE,42888.98,64.3,Unknown,Tightened connections,NO,2025-08-26
ML-2025_05-0003,TRF-E-0053,SUB-E-017,EAST,WestBengal,EMERGENCY,OIL_LEAK,MEDIUM,2025-05-18,2025-06-01,2025-06-05,TECH-1172,Rajesh Kumar,7.4,GASKET,9094.92,10.3,Insufficient maintenance,Performed oil filtration,NO,2025-08-30
ML-2025_05-0004,TRF-S-0082,SUB-S-017,SOUTH,Kerala,INSPECTION,NONE,MEDIUM,2025-05-28,2025-06-06,2025-06-10,TECH-1152,Anil Gupta,38.3,BUSHING,289795.51,41.4,Age deterioration,Full overhaul completed,NO,2025-09-04
ML-2025_05-0005,TRF-W-0073,SUB-W-012,WEST,Gujarat,EMERGENCY,CORROSION,CRITICAL,2025-05-09,2025-05-21,2025-05-21,TECH-1196,Deepak Singh,41.9,WINDING_COIL,60383.49,50.9,Voltage surge,Temporary fix applied,NO,2025-08-19
ML-2025_05-0006,TRF-S-0026,SUB-S-002,SOUTH,Telangana,PREVENTIVE,TAP_CHANGER_FAULT,HIGH,2025-05-28,2025-06-05,2025-06-09,TECH-1199,Rajesh Kumar,10.5,GASKET,297370.57,54.7,Manufacturing defect,Temporary fix applied,NO,2025-09-03
ML-2025_05-0007,TRF-S-0066,SUB-S-015,SOUTH,Karnataka,CORRECTIVE,MOISTURE_INGRESS,CRITICAL,2025-05-18,2025-05-26,2025-05-31,TECH-1004,Deepak Singh,5.4,BUSHING,304496.21,44.8,Manufacturing defect,Tightened connections,NO,2025-08-24
ML-2025_05-0008,TRF-C-0024,SUB-C-035,CENTRAL,Chhattisgarh,INSPECTION,NONE,HIGH,2025-05-27,2025-06-07,2025-06-07,TECH-1043,Rajesh Kumar,44.4,OIL_FILTER,329328.35,12.3,Weather damage,Replaced faulty component,YES,2025-09-05
ML-2025_05-0009,TRF-E-0098,SUB-E-018,EAST,WestBengal,PREVENTIVE,NONE,CRITICAL,2025-05-15,2025-05-23,2025-05-27,TECH-1177,Deepak Singh,5.7,GASKET,83982.71,26.7,Weather damage,Monitoring ongoing,YES,2025-08-21
ML-2025_05-0010,TRF-N-0013,SUB-N-041,NORTH,Haryana,CORRECTIVE,CORROSION,CRITICAL,2025-05-20,2025-05-28,2025-06-01,TECH-1008,Mahesh Joshi,8.1,NONE,491566.97,62.3,Insufficient maintenance,Performed oil filtration,NO,2025-08-26
ML-2025_05-0011,TRF-S-0019,SUB-S-012,SOUTH,Kerala,PREVENTIVE,NONE,MEDIUM,2025-05-12,2025-05-14,2025-05-18,TECH-1045,Suresh Reddy,5.7,NONE,415076.42,3.7,Weather damage,Tightened connections,NO,2025-08-12
ML-2025_05-0012,TRF-C-0007,SUB-C-031,CENTRAL,MP,CORRECTIVE,MOISTURE_INGRESS,MEDIUM,2025-05-14,2025-05-16,2025-05-19,TECH-1015,Amit Patel,37.6,BUSHING,299305.63,56.1,Weather damage,Full overhaul completed,NO,2025-08-14
ML-2025_05-0013,TRF-S-0070,SUB-S-038,SOUTH,TamilNadu,PREVENTIVE,MOISTURE_INGRESS,HIGH,2025-05-03,2025-05-13,2025-05-19,TECH-1008,Rajesh Kumar,5.5,GASKET,72597.94,68.8,Age deterioration,Replaced faulty component,NO,2025-08-11
ML-2025_05-0014,TRF-S-0097,SUB-S-050,SOUTH,TamilNadu,INSPECTION,NONE,LOW,2025-05-20,2025-05-28,,TECH-1028,Sanjay Verma,,NONE,,58.5,Age deterioration,Awaiting parts,NO,2025-08-26
ML-2025_05-0015,TRF-N-0016,SUB-N-002,NORTH,Punjab,EMERGENCY,OVERHEATING,CRITICAL,2025-05-21,2025-05-28,2025-05-30,TECH-1029,Mahesh Joshi,6.2,COOLING_FAN,275843.04,71.5,Manufacturing defect,Full overhaul completed,YES,2025-08-26
ML-2025_05-0016,TRF-W-0019,SUB-W-015,WEST,Rajasthan,EMERGENCY,BUSHING_CRACK,MEDIUM,2025-05-09,2025-05-14,2025-05-14,TECH-1093,Amit Patel,5.4,NONE,12621.39,24.6,Weather damage,Temporary fix applied,NO,2025-08-12
ML-2025_05-0017,TRF-N-0075,SUB-N-018,NORTH,Punjab,INSPECTION,MOISTURE_INGRESS,MEDIUM,2025-05-05,2025-05-17,2025-05-17,TECH-1097,Rajesh Kumar,10.8,COOLING_FAN,213229.8,45.0,Voltage surge,Replaced faulty component,NO,2025-08-15
ML-2025_05-0018,TRF-S-0060,SUB-S-039,SOUTH,Kerala,PREVENTIVE,BUSHING_CRACK,HIGH,2025-05-16,2025-05-23,,TECH-1089,Anil Gupta,,NONE,,25.3,Insufficient maintenance,Replaced faulty component,NO,2025-08-21
ML-2025_05-0019,TRF-N-0069,SUB-N-038,NORTH,Delhi,CORRECTIVE,CORROSION,CRITICAL,2025-05-04,2025-05-14,2025-05-19,TECH-1194,Deepak Singh,35.4,NONE,443023.59,18.4,Insufficient maintenance,Monitoring ongoing,NO,2025-08-12
ML-2025_05-0020,TRF-S-0002,SUB-S-033,SOUTH,Kerala,EMERGENCY,OIL_LEAK,MEDIUM,2025-05-07,2025-05-15,2025-05-15,TECH-1113,Priya Sharma,46.9,OIL_FILTER,288084.1,35.3,Overloading,Replaced faulty component,NO,2025-08-13
ML-2025_05-0021,TRF-E-0051,SUB-E-039,EAST,Odisha,CORRECTIVE,COOLING_FAN_FAIL,HIGH,2025-05-02,2025-05-03,2025-05-06,TECH-1139,Deepak Singh,25.0,TAP_CHANGER,227278.45,68.4,Overloading,Replaced faulty component,NO,2025-08-01
ML-2025_05-0022,TRF-C-0024,SUB-C-010,CENTRAL,MP,CORRECTIVE,NONE,MEDIUM,2025-05-17,2025-05-24,2025-05-30,TECH-1052,Mahesh Joshi,33.3,COOLING_FAN,433778.86,25.9,Voltage surge,Replaced faulty component,NO,2025-08-22
ML-2025_05-0023,TRF-S-0071,SUB-S-034,SOUTH,Telangana,CORRECTIVE,TAP_CHANGER_FAULT,CRITICAL,2025-05-01,2025-05-02,,TECH-1062,Priya Sharma,,BUSHING,,0.2,Manufacturing defect,Replaced faulty component,NO,2025-07-31
ML-2025_05-0024,TRF-N-0075,SUB-N-006,NORTH,UP,CORRECTIVE,BUSHING_CRACK,CRITICAL,2025-05-13,2025-05-26,,TECH-1052,Mahesh Joshi,,NONE,,68.0,Unknown,Awaiting parts,YES,2025-08-24
ML-2025_05-0025,TRF-W-0039,SUB-W-035,WEST,Maharashtra,INSPECTION,OVERHEATING,CRITICAL,2025-05-01,2025-05-10,2025-05-15,TECH-1063,Rajesh Kumar,3.4,NONE,142278.36,15.8,Insufficient maintenance,Replaced faulty component,YES,2025-08-08
ML-2025_05-0026,TRF-S-0041,SUB-S-006,SOUTH,Kerala,EMERGENCY,BUSHING_CRACK,HIGH,2025-05-15,2025-05-17,2025-05-18,TECH-1039,Rajesh Kumar,9.9,TAP_CHANGER,403435.33,47.9,Manufacturing defect,Tightened connections,NO,2025-08-15
ML-2025_05-0027,TRF-E-0004,SUB-E-029,EAST,Bihar,INSPECTION,LIGHTNING_DAMAGE,HIGH,2025-05-25,2025-05-29,2025-06-04,TECH-1073,Deepak Singh,41.6,NONE,223600.29,51.6,Manufacturing defect,Replaced faulty component,NO,2025-08-27
ML-2025_05-0028,TRF-E-0091,SUB-E-050,EAST,WestBengal,CORRECTIVE,COOLING_FAN_FAIL,CRITICAL,2025-05-29,2025-06-09,2025-06-11,TECH-1153,Deepak Singh,46.5,COOLING_FAN,480681.34,28.2,Age deterioration,Temporary fix applied,NO,2025-09-07
ML-2025_05-0029,TRF-C-0018,SUB-C-030,CENTRAL,Chhattisgarh,EMERGENCY,COOLING_FAN_FAIL,CRITICAL,2025-05-29,2025-05-31,2025-06-05,TECH-1080,Amit Patel,45.7,GASKET,175498.2,32.7,Age deterioration,Tightened connections,YES,2025-08-29
ML-2025_05-0030,TRF-S-0071,SUB-S-045,SOUTH,Kerala,PREVENTIVE,TAP_CHANGER_FAULT,LOW,2025-05-20,2025-05-22,2025-05-24,TECH-1161,Amit Patel,38.0,WINDING_COIL,176246.03,1.3,Insufficient maintenance,Replaced faulty component,YES,2025-08-20
ML-2025_05-0031,TRF-N-0034,SUB-N-028,NORTH,UP,PREVENTIVE,NONE,MEDIUM,2025-05-15,2025-05-25,2025-05-25,TECH-1144,Sanjay Verma,25.6,NONE,47899.63,6.5,Overloading,Performed oil filtration,NO,2025-08-23
ML-2025_05-0032,TRF-C-0012,SUB-C-009,CENTRAL,MP,EMERGENCY,INSULATION_BREAKDOWN,LOW,2025-05-24,2025-06-04,2025-06-09,TECH-1128,Suresh Reddy,21.5,WINDING_COIL,116072.24,58.7,Rodent damage,Tightened connections,NO,2025-09-02
ML-2025_05-0033,TRF-N-0057,SUB-N-027,NORTH,Haryana,EMERGENCY,OIL_LEAK,LOW,2025-05-29,2025-06-03,2025-06-05,TECH-1160,Priya Sharma,16.6,BUSHING,186145.72,51.8,Weather damage,Awaiting parts,NO,2025-09-01
ML-2025_05-0034,TRF-W-0072,SUB-W-027,WEST,Maharashtra,INSPECTION,CORROSION,MEDIUM,2025-05-28,2025-05-31,2025-06-05,TECH-1042,Anil Gupta,36.6,COOLING_FAN,413894.83,48.1,Overloading,Full overhaul completed,NO,2025-08-29
ML-2025_05-0035,TRF-N-0045,SUB-N-045,NORTH,UP,CORRECTIVE,OVERHEATING,LOW,2025-05-17,2025-05-24,2025-05-30,TECH-1160,Mahesh Joshi,42.5,NONE,426889.11,31.8,Rodent damage,Monitoring ongoing,NO,2025-08-22
ML-2025_05-0036,TRF-W-0021,SUB-W-038,WEST,Maharashtra,CORRECTIVE,OIL_LEAK,CRITICAL,2025-05-15,2025-05-29,,TECH-1028,Deepak Singh,,NONE,,40.7,Rodent damage,Performed oil filtration,NO,2025-08-27
ML-2025_05-0037,TRF-S-0040,SUB-S-004,SOUTH,Kerala,INSPECTION,TAP_CHANGER_FAULT,MEDIUM,2025-05-11,2025-05-25,2025-05-28,TECH-1029,Amit Patel,5.1,NONE,422520.93,43.5,Voltage surge,Performed oil filtration,NO,2025-08-23
ML-2025_05-0038,TRF-E-0085,SUB-E-045,EAST,Bihar,EMERGENCY,WINDING_FAILURE,LOW,2025-05-19,2025-06-01,2025-06-07,TECH-1026,Mahesh Joshi,37.4,NONE,277463.46,38.2,Unknown,Performed oil filtration,YES,2025-08-30
ML-2025_05-0039,TRF-W-0065,SUB-W-033,WEST,Gujarat,PREVENTIVE,OVERHEATING,CRITICAL,2025-05-08,2025-05-13,2025-05-17,TECH-1138,Rajesh Kumar,47.7,NONE,133536.83,55.7,Voltage surge,Monitoring ongoing,YES,2025-08-11
ML-2025_05-0040,TRF-N-0048,SUB-N-020,NORTH,Haryana,EMERGENCY,NONE,MEDIUM,2025-05-02,2025-05-05,,TECH-1064,Rajesh Kumar,,OIL_FILTER,,51.0,Age deterioration,Tightened connections,NO,2025-08-03
ML-2025_05-0041,TRF-N-0092,SUB-N-047,NORTH,UP,PREVENTIVE,COOLING_FAN_FAIL,MEDIUM,2025-05-27,2025-05-31,2025-06-01,TECH-1016,Sanjay Verma,5.9,NONE,277625.6,42.6,Age deterioration,Replaced faulty component,YES,2025-08-29
ML-2025_05-0042,TRF-E-0015,SUB-E-016,EAST,WestBengal,INSPECTION,LIGHTNING_DAMAGE,CRITICAL,2025-05-02,2025-05-03,2025-05-10,TECH-1196,Suresh Reddy,3.1,OIL_FILTER,442889.92,54.6,Overloading,Monitoring ongoing,NO,2025-08-01
ML-2025_05-0043,TRF-C-0013,SUB-C-038,CENTRAL,Uttarakhand,INSPECTION,INSULATION_BREAKDOWN,HIGH,2025-05-25,2025-05-26,2025-05-30,TECH-1003,Priya Sharma,4.6,NONE,173659.43,24.3,Overloading,Awaiting parts,YES,2025-08-24
ML-2025_05-0044,TRF-N-0067,SUB-N-048,NORTH,Delhi,INSPECTION,NONE,CRITICAL,2025-05-16,2025-05-19,2025-05-26,TECH-1154,Rajesh Kumar,34.6,NONE,60415.8,29.9,Insufficient maintenance,Replaced faulty component,YES,2025-08-17
ML-2025_05-0045,TRF-C-0087,SUB-C-039,CENTRAL,HP,EMERGENCY,WINDING_FAILURE,MEDIUM,2025-05-16,2025-05-30,2025-06-02,TECH-1125,Anil Gupta,40.4,BUSHING,226467.31,30.2,Manufacturing defect,Replaced faulty component,NO,2025-08-28
